instant,dteday,season,mnth,holiday,weekday,temp,cnt
165,14/06/2011,2,6,0,2,0.604167,4891
166,15/06/2011,2,6,0,3,0.626667,5180
167,16/06/2011,2,6,0,4,0.628333,3767
168,17/06/2011,2,6,0,5,0.649167,4844
169,18/06/2011,2,6,0,6,0.696667,5119
170,19/06/2011,2,6,0,0,0.699167,4744
171,20/06/2011,2,6,0,1,0.635,4010
172,21/06/2011,3,6,0,2,0.680833,4835
173,22/06/2011,3,6,0,3,0.733333,4507
174,23/06/2011,3,6,0,4,0.728333,4790
175,24/06/2011,3,6,0,5,0.724167,4991
176,25/06/2011,3,6,0,6,0.695,5202
177,26/06/2011,3,6,0,0,0.68,5305
178,27/06/2011,3,6,0,1,0.6825,4708
179,28/06/2011,3,6,0,2,0.744167,4648
180,29/06/2011,3,6,0,3,0.728333,5225
181,30/06/2011,3,6,0,4,0.696667,5515
182,01/07/2011,3,7,0,5,0.7225,5362
183,02/07/2011,3,7,0,6,0.738333,5119
184,03/07/2011,3,7,0,0,0.716667,4649
185,04/07/2011,3,7,1,1,0.726667,6043
186,05/07/2011,3,7,0,2,0.746667,4665
187,06/07/2011,3,7,0,3,0.72,4629
188,07/07/2011,3,7,0,4,0.75,4592
189,08/07/2011,3,7,0,5,0.709167,4040
190,09/07/2011,3,7,0,6,0.733333,5336
191,10/07/2011,3,7,0,0,0.7475,4881
192,11/07/2011,3,7,0,1,0.7625,4086
193,12/07/2011,3,7,0,2,0.794167,4258
194,13/07/2011,3,7,0,3,0.746667,4342
195,14/07/2011,3,7,0,4,0.680833,5084
196,15/07/2011,3,7,0,5,0.663333,5538
197,16/07/2011,3,7,0,6,0.686667,5923
198,17/07/2011,3,7,0,0,0.719167,5302
199,18/07/2011,3,7,0,1,0.746667,4458
200,19/07/2011,3,7,0,2,0.776667,4541
201,20/07/2011,3,7,0,3,0.768333,4332
202,21/07/2011,3,7,0,4,0.815,3784
203,22/07/2011,3,7,0,5,0.848333,3387
204,23/07/2011,3,7,0,6,0.849167,3285
205,24/07/2011,3,7,0,0,0.83,3606
206,25/07/2011,3,7,0,1,0.743333,3840
207,26/07/2011,3,7,0,2,0.771667,4590
208,27/07/2011,3,7,0,3,0.775,4656
209,28/07/2011,3,7,0,4,0.779167,4390
210,29/07/2011,3,7,0,5,0.838333,3846
211,30/07/2011,3,7,0,6,0.804167,4475
212,31/07/2011,3,7,0,0,0.805833,4302
213,01/08/2011,3,8,0,1,0.771667,4266
214,02/08/2011,3,8,0,2,0.783333,4845
215,03/08/2011,3,8,0,3,0.731667,3574
216,04/08/2011,3,8,0,4,0.71,4576
217,05/08/2011,3,8,0,5,0.710833,4866
218,06/08/2011,3,8,0,6,0.716667,4294
219,07/08/2011,3,8,0,0,0.7425,3785
220,08/08/2011,3,8,0,1,0.765,4326
221,09/08/2011,3,8,0,2,0.775,4602
222,10/08/2011,3,8,0,3,0.766667,4780
223,11/08/2011,3,8,0,4,0.7175,4792
224,12/08/2011,3,8,0,5,0.708333,4905
225,13/08/2011,3,8,0,6,0.685833,4150
226,14/08/2011,3,8,0,0,0.676667,3820
227,15/08/2011,3,8,0,1,0.665833,4338
228,16/08/2011,3,8,0,2,0.700833,4725
229,17/08/2011,3,8,0,3,0.723333,4694
230,18/08/2011,3,8,0,4,0.711667,3805
231,19/08/2011,3,8,0,5,0.685,4153
232,20/08/2011,3,8,0,6,0.6975,5191
233,21/08/2011,3,8,0,0,0.710833,3873
234,22/08/2011,3,8,0,1,0.691667,4758
235,23/08/2011,3,8,0,2,0.640833,5895
236,24/08/2011,3,8,0,3,0.673333,5130
237,25/08/2011,3,8,0,4,0.684167,3542
238,26/08/2011,3,8,0,5,0.7,4661
239,27/08/2011,3,8,0,6,0.68,1115
240,28/08/2011,3,8,0,0,0.707059,4334
241,29/08/2011,3,8,0,1,0.636667,4634
242,30/08/2011,3,8,0,2,0.639167,5204
243,31/08/2011,3,8,0,3,0.656667,5058
244,01/09/2011,3,9,0,4,0.655,5115
245,02/09/2011,3,9,0,5,0.643333,4727
246,03/09/2011,3,9,0,6,0.669167,4484
247,04/09/2011,3,9,0,0,0.709167,4940
248,05/09/2011,3,9,1,1,0.673333,3351
249,06/09/2011,3,9,0,2,0.54,2710
250,07/09/2011,3,9,0,3,0.599167,1996
251,08/09/2011,3,9,0,4,0.633913,1842
252,09/09/2011,3,9,0,5,0.65,3544
253,10/09/2011,3,9,0,6,0.66,5345
254,11/09/2011,3,9,0,0,0.653333,5046
255,12/09/2011,3,9,0,1,0.644348,4713
256,13/09/2011,3,9,0,2,0.650833,4763
257,14/09/2011,3,9,0,3,0.673333,4785
258,15/09/2011,3,9,0,4,0.5775,3659
259,16/09/2011,3,9,0,5,0.469167,4760
260,17/09/2011,3,9,0,6,0.491667,4511
261,18/09/2011,3,9,0,0,0.5075,4274
262,19/09/2011,3,9,0,1,0.549167,4539
263,20/09/2011,3,9,0,2,0.561667,3641
264,21/09/2011,3,9,0,3,0.595,4352
265,22/09/2011,3,9,0,4,0.628333,4795
266,23/09/2011,4,9,0,5,0.609167,2395
267,24/09/2011,4,9,0,6,0.606667,5423
268,25/09/2011,4,9,0,0,0.634167,5010
269,26/09/2011,4,9,0,1,0.649167,4630
270,27/09/2011,4,9,0,2,0.636667,4120
271,28/09/2011,4,9,0,3,0.635,3907
272,29/09/2011,4,9,0,4,0.616667,4839
273,30/09/2011,4,9,0,5,0.564167,5202
274,01/10/2011,4,10,0,6,0.41,2429
275,02/10/2011,4,10,0,0,0.356667,2918
276,03/10/2011,4,10,0,1,0.384167,3570
277,04/10/2011,4,10,0,2,0.484167,4456
278,05/10/2011,4,10,0,3,0.538333,4826
279,06/10/2011,4,10,0,4,0.494167,4765
280,07/10/2011,4,10,0,5,0.510833,4985
281,08/10/2011,4,10,0,6,0.521667,5409
282,09/10/2011,4,10,0,0,0.540833,5511
283,10/10/2011,4,10,1,1,0.570833,5117
284,11/10/2011,4,10,0,2,0.566667,4563
285,12/10/2011,4,10,0,3,0.543333,2416
286,13/10/2011,4,10,0,4,0.589167,2913
287,14/10/2011,4,10,0,5,0.550833,3644
288,15/10/2011,4,10,0,6,0.506667,5217
289,16/10/2011,4,10,0,0,0.511667,5041
290,17/10/2011,4,10,0,1,0.534167,4570
291,18/10/2011,4,10,0,2,0.5325,4748
292,19/10/2011,4,10,0,3,0.541739,2424
293,20/10/2011,4,10,0,4,0.475833,4195
294,21/10/2011,4,10,0,5,0.4275,4304
295,22/10/2011,4,10,0,6,0.4225,4308
296,23/10/2011,4,10,0,0,0.421667,4381
297,24/10/2011,4,10,0,1,0.463333,4187
298,25/10/2011,4,10,0,2,0.471667,4687
299,26/10/2011,4,10,0,3,0.484167,3894
300,27/10/2011,4,10,0,4,0.47,2659
301,28/10/2011,4,10,0,5,0.330833,3747
302,29/10/2011,4,10,0,6,0.254167,627
303,30/10/2011,4,10,0,0,0.319167,3331
304,31/10/2011,4,10,0,1,0.34,3669
305,01/11/2011,4,11,0,2,0.400833,4068
306,02/11/2011,4,11,0,3,0.3775,4186
307,03/11/2011,4,11,0,4,0.408333,3974
308,04/11/2011,4,11,0,5,0.403333,4046
309,05/11/2011,4,11,0,6,0.326667,3926
310,06/11/2011,4,11,0,0,0.348333,3649
311,07/11/2011,4,11,0,1,0.395,4035
312,08/11/2011,4,11,0,2,0.408333,4205
313,09/11/2011,4,11,0,3,0.4,4109
314,10/11/2011,4,11,0,4,0.38,2933
315,11/11/2011,4,11,1,5,0.324167,3368
316,12/11/2011,4,11,0,6,0.356667,4067
317,13/11/2011,4,11,0,0,0.440833,3717
318,14/11/2011,4,11,0,1,0.53,4486
319,15/11/2011,4,11,0,2,0.53,4195
320,16/11/2011,4,11,0,3,0.456667,1817
321,17/11/2011,4,11,0,4,0.341667,3053
322,18/11/2011,4,11,0,5,0.274167,3392
323,19/11/2011,4,11,0,6,0.329167,3663
324,20/11/2011,4,11,0,0,0.463333,3520
325,21/11/2011,4,11,0,1,0.4475,2765
326,22/11/2011,4,11,0,2,0.416667,1607
327,23/11/2011,4,11,0,3,0.440833,2566
328,24/11/2011,4,11,1,4,0.373333,1495
329,25/11/2011,4,11,0,5,0.375,2792
330,26/11/2011,4,11,0,6,0.375833,3068
331,27/11/2011,4,11,0,0,0.459167,3071
332,28/11/2011,4,11,0,1,0.503478,3867
333,29/11/2011,4,11,0,2,0.458333,2914
334,30/11/2011,4,11,0,3,0.325,3613
335,01/12/2011,4,12,0,4,0.3125,3727
336,02/12/2011,4,12,0,5,0.314167,3940
337,03/12/2011,4,12,0,6,0.299167,3614
338,04/12/2011,4,12,0,0,0.330833,3485
339,05/12/2011,4,12,0,1,0.385833,3811
340,06/12/2011,4,12,0,2,0.4625,2594
341,07/12/2011,4,12,0,3,0.41,705
342,08/12/2011,4,12,0,4,0.265833,3322
343,09/12/2011,4,12,0,5,0.290833,3620
344,10/12/2011,4,12,0,6,0.275,3190
345,11/12/2011,4,12,0,0,0.220833,2743
346,12/12/2011,4,12,0,1,0.238333,3310
347,13/12/2011,4,12,0,2,0.2825,3523
348,14/12/2011,4,12,0,3,0.3175,3740
349,15/12/2011,4,12,0,4,0.4225,3709
350,16/12/2011,4,12,0,5,0.375,3577
351,17/12/2011,4,12,0,6,0.258333,2739
352,18/12/2011,4,12,0,0,0.238333,2431
353,19/12/2011,4,12,0,1,0.276667,3403
354,20/12/2011,4,12,0,2,0.385833,3750
355,21/12/2011,1,12,0,3,0.428333,2660
356,22/12/2011,1,12,0,4,0.423333,3068
357,23/12/2011,1,12,0,5,0.373333,2209
358,24/12/2011,1,12,0,6,0.3025,1011
359,25/12/2011,1,12,0,0,0.274783,754
360,26/12/2011,1,12,1,1,0.321739,1317
361,27/12/2011,1,12,0,2,0.325,1162
362,28/12/2011,1,12,0,3,0.29913,2302
363,29/12/2011,1,12,0,4,0.248333,2423
364,30/12/2011,1,12,0,5,0.311667,2999
365,31/12/2011,1,12,0,6,0.41,2485
366,01/01/2012,1,1,0,0,0.37,2294
367,02/01/2012,1,1,1,1,0.273043,1951
368,03/01/2012,1,1,0,2,0.15,2236
369,04/01/2012,1,1,0,3,0.1075,2368
370,05/01/2012,1,1,0,4,0.265833,3272
371,06/01/2012,1,1,0,5,0.334167,4098
372,07/01/2012,1,1,0,6,0.393333,4521
373,08/01/2012,1,1,0,0,0.3375,3425
374,09/01/2012,1,1,0,1,0.224167,2376
375,10/01/2012,1,1,0,2,0.308696,3598
376,11/01/2012,1,1,0,3,0.274167,2177
377,12/01/2012,1,1,0,4,0.3825,4097
378,13/01/2012,1,1,0,5,0.274167,3214
379,14/01/2012,1,1,0,6,0.18,2493
380,15/01/2012,1,1,0,0,0.166667,2311
381,16/01/2012,1,1,1,1,0.19,2298
382,17/01/2012,1,1,0,2,0.373043,2935
383,18/01/2012,1,1,0,3,0.303333,3376
384,19/01/2012,1,1,0,4,0.19,3292
385,20/01/2012,1,1,0,5,0.2175,3163
386,21/01/2012,1,1,0,6,0.173333,1301
387,22/01/2012,1,1,0,0,0.1625,1977
388,23/01/2012,1,1,0,1,0.218333,2432
389,24/01/2012,1,1,0,2,0.3425,4339
390,25/01/2012,1,1,0,3,0.294167,4270
391,26/01/2012,1,1,0,4,0.341667,4075
392,27/01/2012,1,1,0,5,0.425,3456
393,28/01/2012,1,1,0,6,0.315833,4023
394,29/01/2012,1,1,0,0,0.2825,3243
395,30/01/2012,1,1,0,1,0.269167,3624
396,31/01/2012,1,1,0,2,0.39,4509
397,01/02/2012,1,2,0,3,0.469167,4579
398,02/02/2012,1,2,0,4,0.399167,3761
399,03/02/2012,1,2,0,5,0.313333,4151
400,04/02/2012,1,2,0,6,0.264167,2832
401,05/02/2012,1,2,0,0,0.265833,2947
402,06/02/2012,1,2,0,1,0.282609,3784
403,07/02/2012,1,2,0,2,0.354167,4375
404,08/02/2012,1,2,0,3,0.256667,2802
405,09/02/2012,1,2,0,4,0.265,3830
406,10/02/2012,1,2,0,5,0.280833,3831
407,11/02/2012,1,2,0,6,0.224167,2169
408,12/02/2012,1,2,0,0,0.1275,1529
409,13/02/2012,1,2,0,1,0.2225,3422
410,14/02/2012,1,2,0,2,0.319167,3922
411,15/02/2012,1,2,0,3,0.348333,4169
412,16/02/2012,1,2,0,4,0.316667,3005
413,17/02/2012,1,2,0,5,0.343333,4154
414,18/02/2012,1,2,0,6,0.346667,4318
415,19/02/2012,1,2,0,0,0.28,2689
416,20/02/2012,1,2,1,1,0.28,3129
417,21/02/2012,1,2,0,2,0.287826,3777
418,22/02/2012,1,2,0,3,0.395833,4773
419,23/02/2012,1,2,0,4,0.454167,5062
420,24/02/2012,1,2,0,5,0.4075,3487
421,25/02/2012,1,2,0,6,0.290833,2732
422,26/02/2012,1,2,0,0,0.279167,3389
423,27/02/2012,1,2,0,1,0.366667,4322
424,28/02/2012,1,2,0,2,0.359167,4363
425,29/02/2012,1,2,0,3,0.344348,1834
426,01/03/2012,1,3,0,4,0.485833,4990
427,02/03/2012,1,3,0,5,0.353333,3194
428,03/03/2012,1,3,0,6,0.414167,4066
429,04/03/2012,1,3,0,0,0.325833,3423
430,05/03/2012,1,3,0,1,0.243333,3333
431,06/03/2012,1,3,0,2,0.258333,3956
432,07/03/2012,1,3,0,3,0.404167,4916
433,08/03/2012,1,3,0,4,0.5275,5382
434,09/03/2012,1,3,0,5,0.410833,4569
435,10/03/2012,1,3,0,6,0.2875,4118
436,11/03/2012,1,3,0,0,0.361739,4911
437,12/03/2012,1,3,0,1,0.466667,5298
438,13/03/2012,1,3,0,2,0.565,5847
439,14/03/2012,1,3,0,3,0.5725,6312
440,15/03/2012,1,3,0,4,0.5575,6192
441,16/03/2012,1,3,0,5,0.435833,4378
442,17/03/2012,1,3,0,6,0.514167,7836
443,18/03/2012,1,3,0,0,0.4725,5892
444,19/03/2012,1,3,0,1,0.545,6153
445,20/03/2012,1,3,0,2,0.560833,6093
446,21/03/2012,2,3,0,3,0.531667,6230
447,22/03/2012,2,3,0,4,0.554167,6871
448,23/03/2012,2,3,0,5,0.601667,8362
449,24/03/2012,2,3,0,6,0.5025,3372
450,25/03/2012,2,3,0,0,0.4375,4996
451,26/03/2012,2,3,0,1,0.445833,5558
452,27/03/2012,2,3,0,2,0.323333,5102
453,28/03/2012,2,3,0,3,0.484167,5698
454,29/03/2012,2,3,0,4,0.494167,6133
455,30/03/2012,2,3,0,5,0.37,5459
456,31/03/2012,2,3,0,6,0.424167,6235
457,01/04/2012,2,4,0,0,0.425833,6041
458,02/04/2012,2,4,0,1,0.433913,5936
459,03/04/2012,2,4,0,2,0.466667,6772
460,04/04/2012,2,4,0,3,0.541667,6436
461,05/04/2012,2,4,0,4,0.435,6457
462,06/04/2012,2,4,0,5,0.403333,6460
463,07/04/2012,2,4,0,6,0.4375,6857
464,08/04/2012,2,4,0,0,0.5,5169
465,09/04/2012,2,4,0,1,0.489167,5585
466,10/04/2012,2,4,0,2,0.446667,5918
467,11/04/2012,2,4,0,3,0.348696,4862
468,12/04/2012,2,4,0,4,0.3975,5409
469,13/04/2012,2,4,0,5,0.4425,6398
470,14/04/2012,2,4,0,6,0.495,7460
471,15/04/2012,2,4,0,0,0.606667,7132
472,16/04/2012,2,4,1,1,0.664167,6370
473,17/04/2012,2,4,0,2,0.608333,6691
474,18/04/2012,2,4,0,3,0.463333,4367
475,19/04/2012,2,4,0,4,0.498333,6565
476,20/04/2012,2,4,0,5,0.526667,7290
477,21/04/2012,2,4,0,6,0.57,6624
478,22/04/2012,2,4,0,0,0.396667,1027
479,23/04/2012,2,4,0,1,0.321667,3214
480,24/04/2012,2,4,0,2,0.413333,5633
481,25/04/2012,2,4,0,3,0.476667,6196
482,26/04/2012,2,4,0,4,0.498333,5026
483,27/04/2012,2,4,0,5,0.4575,6233
484,28/04/2012,2,4,0,6,0.376667,4220
485,29/04/2012,2,4,0,0,0.458333,6304
486,30/04/2012,2,4,0,1,0.464167,5572
487,01/05/2012,2,5,0,2,0.613333,5740
488,02/05/2012,2,5,0,3,0.564167,6169
489,03/05/2012,2,5,0,4,0.56,6421
490,04/05/2012,2,5,0,5,0.6275,6296
491,05/05/2012,2,5,0,6,0.621667,6883
492,06/05/2012,2,5,0,0,0.5625,6359
493,07/05/2012,2,5,0,1,0.5375,6273
494,08/05/2012,2,5,0,2,0.581667,5728
495,09/05/2012,2,5,0,3,0.575,4717
496,10/05/2012,2,5,0,4,0.505833,6572
497,11/05/2012,2,5,0,5,0.533333,7030
498,12/05/2012,2,5,0,6,0.564167,7429
499,13/05/2012,2,5,0,0,0.6125,6118
500,14/05/2012,2,5,0,1,0.573333,2843
501,15/05/2012,2,5,0,2,0.611667,5115
502,16/05/2012,2,5,0,3,0.636667,7424
503,17/05/2012,2,5,0,4,0.593333,7384
504,18/05/2012,2,5,0,5,0.564167,7639
505,19/05/2012,2,5,0,6,0.6,8294
506,20/05/2012,2,5,0,0,0.620833,7129
507,21/05/2012,2,5,0,1,0.598333,4359
508,22/05/2012,2,5,0,2,0.615,6073
509,23/05/2012,2,5,0,3,0.621667,5260
510,24/05/2012,2,5,0,4,0.655,6770
511,25/05/2012,2,5,0,5,0.68,6734
512,26/05/2012,2,5,0,6,0.6925,6536
513,27/05/2012,2,5,0,0,0.69,6591
514,28/05/2012,2,5,1,1,0.7125,6043
515,29/05/2012,2,5,0,2,0.7225,5743
516,30/05/2012,2,5,0,3,0.656667,6855
517,31/05/2012,2,5,0,4,0.68,7338
518,01/06/2012,2,6,0,5,0.654167,4127
519,02/06/2012,2,6,0,6,0.583333,8120
520,03/06/2012,2,6,0,0,0.6025,7641
521,04/06/2012,2,6,0,1,0.5975,6998
522,05/06/2012,2,6,0,2,0.540833,7001
523,06/06/2012,2,6,0,3,0.554167,7055
524,07/06/2012,2,6,0,4,0.6025,7494
525,08/06/2012,2,6,0,5,0.649167,7736
526,09/06/2012,2,6,0,6,0.710833,7498
527,10/06/2012,2,6,0,0,0.726667,6598
528,11/06/2012,2,6,0,1,0.720833,6664
529,12/06/2012,2,6,0,2,0.653333,4972
530,13/06/2012,2,6,0,3,0.655833,7421
531,14/06/2012,2,6,0,4,0.648333,7363
532,15/06/2012,2,6,0,5,0.639167,7665
533,16/06/2012,2,6,0,6,0.631667,7702
534,17/06/2012,2,6,0,0,0.5925,6978
535,18/06/2012,2,6,0,1,0.568333,5099
536,19/06/2012,2,6,0,2,0.688333,6825
537,20/06/2012,2,6,0,3,0.7825,6211
538,21/06/2012,3,6,0,4,0.805833,5905
539,22/06/2012,3,6,0,5,0.7775,5823
540,23/06/2012,3,6,0,6,0.731667,7458
541,24/06/2012,3,6,0,0,0.743333,6891
542,25/06/2012,3,6,0,1,0.715833,6779
543,26/06/2012,3,6,0,2,0.630833,7442
544,27/06/2012,3,6,0,3,0.6975,7335
545,28/06/2012,3,6,0,4,0.749167,6879
546,29/06/2012,3,6,0,5,0.834167,5463
547,30/06/2012,3,6,0,6,0.765,5687
548,01/07/2012,3,7,0,0,0.815833,5531
549,02/07/2012,3,7,0,1,0.781667,6227
550,03/07/2012,3,7,0,2,0.780833,6660
551,04/07/2012,3,7,1,3,0.789167,7403
552,05/07/2012,3,7,0,4,0.8275,6241
553,06/07/2012,3,7,0,5,0.828333,6207
554,07/07/2012,3,7,0,6,0.861667,4840
555,08/07/2012,3,7,0,0,0.8225,4672
556,09/07/2012,3,7,0,1,0.710833,6569
557,10/07/2012,3,7,0,2,0.720833,6290
558,11/07/2012,3,7,0,3,0.716667,7264
559,12/07/2012,3,7,0,4,0.715833,7446
560,13/07/2012,3,7,0,5,0.731667,7499
561,14/07/2012,3,7,0,6,0.703333,6969
